iter,train_loss,val_loss,lr,tokens_per_sec,iter_ms
2150,1.852617,,2.041884e-04,19699.4,1663.40
2155,1.877566,,2.037655e-04,19685.2,1664.60
2160,1.855539,,2.033421e-04,19676.8,1665.31
2165,1.854830,,2.029183e-04,19682.7,1664.82
2170,1.899745,,2.024941e-04,19692.1,1664.02
2175,1.904410,,2.020695e-04,19687.5,1664.41
2180,1.892991,,2.016445e-04,19681.1,1664.95
2185,1.902349,,2.012191e-04,19679.1,1665.12
2190,1.915593,,2.007933e-04,19677.6,1665.24
2195,1.858069,,2.003671e-04,19688.7,1664.31
2200,1.949185,,1.999406e-04,19680.1,1665.03
2205,1.892036,,1.995137e-04,19669.1,1665.97
2210,1.895470,,1.990864e-04,19678.0,1665.21
2215,1.819477,,1.986587e-04,19685.4,1664.58
2220,1.869975,,1.982307e-04,19672.3,1665.70
2225,1.892105,,1.978023e-04,19674.5,1665.51
2230,1.884279,,1.973736e-04,19684.1,1664.69
2235,1.874628,,1.969445e-04,19682.1,1664.86
2240,1.849217,,1.965151e-04,19692.7,1663.97
2245,1.831617,,1.960854e-04,19683.1,1664.78
2250,1.794597,1.807077,1.956553e-04,,
2250,1.890775,,1.956553e-04,6252.4,5240.83
2255,1.853885,,1.952249e-04,19587.6,1672.89
2260,1.891223,,1.947942e-04,19676.6,1665.33
2265,1.856856,,1.943631e-04,19680.0,1665.04
2270,1.875555,,1.939317e-04,19665.0,1666.31
2275,1.862604,,1.935001e-04,19657.5,1666.95
2280,1.850143,,1.930681e-04,19669.9,1665.90
2285,1.860194,,1.926358e-04,19675.4,1665.43
2290,1.831102,,1.922032e-04,19659.9,1666.74
2295,1.843488,,1.917703e-04,19662.9,1666.49
2300,1.881348,,1.913372e-04,19659.6,1666.77
2305,1.793164,,1.909038e-04,19670.7,1665.82
2310,1.930209,,1.904700e-04,19673.4,1665.60
2315,1.831392,,1.900361e-04,19685.2,1664.60
2320,1.830675,,1.896018e-04,19679.8,1665.06
2325,1.885943,,1.891673e-04,19685.2,1664.60
2330,1.860539,,1.887325e-04,19673.0,1665.63
2335,1.851341,,1.882975e-04,19639.1,1668.51
2340,1.822370,,1.878622e-04,19657.0,1666.99
2345,1.828769,,1.874267e-04,19693.4,1663.91
